Bill No.,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Introduction Proper,Date of Passing in Lok Sabha,Date of Passing in Lok Sabha Proper,Date of Passing in Rajya Sabha,Date of Passing in Rajya Sabha Proper,Diff RS-LS,Diff RS-LS Cleaned,Date of Assent,Date of Assent Proper,Diff Ass-LS,Diff Ass-LS Clean,Act No.,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
18,2013,"The Finance Bill, 2013",FINANCE,28-02-2013,2/28/2013,30-04-2013,4/30/2013,NA,NA,NA,0,NA,NA,NA,0,NA,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/18_2013_EN_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_18_2013_Eng.doc.pdf
30,2013,"The National Institutes of Technology, Science Education and Research (Amendment) Bill, 2013",HUMAN RESOURCE  DEVELOPMENT,4/3/2013,4/3/2013,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/30_2013_LS_Eng.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corr_30_2013_eng.doc
31,2013,"The Agricultural Biosecurity (Amendment) Bill, 2013.",AGRICULTURE,11/3/2013,11/3/2013,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/31_2013_LS_Eng.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda (Agricultural Biosecurity) 7.3.2013.doc
35,2013,"The Appropriation (Railways) Vote on Account Bill, 2013",RAILWAYS,13-03-2013,3/13/2013,13-03-2013,3/13/2013,15-03-2013,3/15/2013,2,2,20-03-2013,3/20/2013,7,7,5,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/35_5317_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/35F_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum_Appro.RLY.VO 13.pdf
35,2013,"The Appropriation (Railways) Vote on Account Bill, 2013",RAILWAYS,13-03-2013,3/13/2013,13-03-2013,3/13/2013,15-03-2013,3/15/2013,2,2,20-03-2013,3/20/2013,7,7,5,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/35_5317_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/35F_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum_Appro.RLY.VO 13.pdf
36,2013,"Appropriation (Railways) Bill, 2013",RAILWAYS,13-03-2013,,13-03-2013,3/13/2013,15-03-2013,3/15/2013,2,2,20-03-2013,3/20/2013,7,7,6,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/36_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/36F_2013_Eng_LS.pdf,NA
36,2013,"Appropriation (Railways) Bill, 2013",RAILWAYS,13-03-2013,3/13/2013,13-03-2013,3/13/2013,15-03-2013,3/15/2013,2,2,20-03-2013,3/20/2013,7,7,6,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/36_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/36F_2013_Eng_LS.pdf,NA
37,2013,"The Appropriation (Railways)No. 2 Bill, 2013",RAILWAYS,13-03-2013,3/13/2013,13-03-2013,3/13/2013,15-03-2013,3/15/2013,2,2,20-03-2013,3/20/2013,7,7,7,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Bill_37_5319_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/37F_2013_Eng_LS.pdf,NA
37,2013,"The Appropriation (Railways)No. 2 Bill, 2013",RAILWAYS,13-03-2013,3/13/2013,13-03-2013,3/13/2013,15-03-2013,3/15/2013,2,2,20-03-2013,3/20/2013,7,7,7,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Bill_37_5319_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/37F_2013_Eng_LS.pdf,NA
38,2013,"The Indian Institutes of Information Technology Bill, 2013.",HUMAN RESOURCE  DEVELOPMENT,18-03-2013,3/18/2013,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/38_2013_Eng_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corri_38_2013_Eng_LS.doc
41,2013,"The Appropriation (Vote on Account) Bill, 2013",FINANCE,14-03-2013,3/14/2013,14-03-2013,3/14/2013,21-03-2013,3/21/2013,7,7,22-03-2013,3/22/2013,8,8,8,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/41_5497_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/41F_2013_Eng_LS.pdf,NA
